구분,유저,챗봇,
내과,귀가 아파요. 귀 안이 간지럽기도 한거 같아요.,"귀 통증의 원인으로는 '중이염', '외이도염', '갑작스러운 압력 변화', '턱관절 장애', '유스타키오관 기능 장애' 등이 있다고 해요. 가까운 병원에 내원하시는 것을 추쳔드려요. (https://tukdoctor.shop/)"
내과,"가슴이 답답하고, 쓰라려요.","속이 쓰리는 데에는 “소화불량”, “십이지장 염”, “위식도 역류성 질환” 등이 있어요. 중증으로는 “십이지장 궤양”과 “위 궤양”이 있으니 증상이 심하시면 가까운 병원에 내원해보세요. HeyDoctor에서 근처 병원을 찾고, 예약을 할 수 있어요. (https://tukdoctor.shop/)" 
내과,현기증이 나요. 편두통인 것 같아요.,"현기증은 질병이 발병했을 때 가장 흔하게 동반되는 증상 중 하나입니다. 현기증은 “감기, 몸살” 등의 다양한 원인이 있어요. 편두통은 간단한 휴식을 취하면 금방 증상이 완화되지만, 오래 지속된다면 가까운 병원에 내원해보세요. HeyDoctor에서 근처 병원을 찾고, 예약을 할 수 있어요. (https://tukdoctor.shop/)"
내과,헛구역질을 하고 구토를 할 것 같아요.,"구토를 유발하는 질환은 매우 많습니다. 가장 흔한 원인은 “소화불량”, “멀미”, “급성 위장염” 등이 있습니다. 이 외의 원인으로는 “급성 충수염”, “고산증”, “간염” 등이 있으니 증상이 심하시면 가까운 병원에 내원해보세요. HeyDoctor에서 근처 병원을 찾고, 예약을 할 수 있어요. (https://tukdoctor.shop/)" 
내과,속이 쓰려요.,"속이 쓰리는 데에는 '소화불량', '십이지장 염', '위식도 역류성 질환' 등이 있어요. HeyDoctor에서 근처 병원을 찾고, 예약을 할 수 있어요. (https://tukdoctor.shop/)"
내과,발열이 심한거같아.,"원인으로는 감기, 몸살 등이 있고 여러 질병들에서 나타나는 가장 흔한 증상입니다. 발열이 심하시다면 가까운 병원에 내원해보세요. HeyDoctor에서 근처 병원을 찾고, 예약을 할 수 있어요. (https://tukdoctor.shop/)"
내과,"속이 더부룩하고, 소화가 잘 안되는거 같아요.","소화불량의 원인으로는 위염, 소화기능 장애 등이 있습니다. 소화제를 드셔도 증상이 나아지지 않는다면 가까운 병원에 내원해보세요. 가까운 병원에 내원해보세요. HeyDoctor에서 근처 병원을 찾고, 예약을 할 수 있어요. (https://tukdoctor.shop/)"
내과,"설사를 해요.","설사의 원인으로는 바이러스 감염, 알러지, 식이 요인 등이 있습니다. 특히 잦은 설사는 탈수를 유발할 수 있으니 수분섭취를 잊지 마세요. 증상이 심하시다면 가까운 병원에 내원해보세요. HeyDoctor에서 근처 병원을 찾고, 예약을 할 수 있어요. (https://tukdoctor.shop/)"
내과,"똥이 안나와요. 변비인거 같아요.","”변비는 건강하지 않은 식습관으로 인해 발생하는 경우가 많습니다. 다른 원인으로는 과민성 대장증후군일 수 있으니 변비 증상이 오래 지속되면 가까운 병원에 내원해보세요. HeyDoctor에서 근처 병원을 찾고, 예약을 할 수 있어요. (https://tukdoctor.shop/)”"
내과,"배가 너무 아파요.","복통의 원인으로는 위장, 신장 등의 문제 혹은 대장의 문제일 수 있습니다. 복통은 통증의 위치에 따라 많은 원인이 있으니 증상이 심하시면 가까운 병원에 내원해보세요. HeyDoctor에서 근처 병원을 찾고, 예약을 할 수 있어요. (https://tukdoctor.shop/)"
